idx,tree,svg,png
107,"{3,5,8,9,10}",tree-107.svg,tree-107.png
108,"{3,5,8,10,12}",tree-108.svg,tree-108.png
109,"{3,5,9,10,12}",tree-109.svg,tree-109.png
110,"{3,6,7,8,9}",tree-110.svg,tree-110.png
111,"{3,6,7,8,12}",tree-111.svg,tree-111.png
112,"{3,6,7,9,12}",tree-112.svg,tree-112.png
113,"{3,6,8,9,10}",tree-113.svg,tree-113.png
114,"{3,6,8,10,12}",tree-114.svg,tree-114.png
115,"{3,6,9,10,12}",tree-115.svg,tree-115.png
116,"{3,7,8,9,10}",tree-116.svg,tree-116.png
117,"{3,7,8,10,12}",tree-117.svg,tree-117.png
118,"{3,7,9,10,12}",tree-118.svg,tree-118.png
119,"{4,5,6,7,9}",tree-119.svg,tree-119.png
120,"{4,5,6,7,12}",tree-120.svg,tree-120.png
121,"{4,5,6,8,9}",tree-121.svg,tree-121.png
122,"{4,5,6,8,12}",tree-122.svg,tree-122.png
123,"{4,5,6,9,10}",tree-123.svg,tree-123.png
124,"{4,5,6,9,12}",tree-124.svg,tree-124.png
125,"{4,5,6,10,12}",tree-125.svg,tree-125.png
126,"{4,5,7,9,10}",tree-126.svg,tree-126.png
127,"{4,5,7,10,12}",tree-127.svg,tree-127.png
128,"{4,5,8,9,10}",tree-128.svg,tree-128.png
129,"{4,5,8,10,12}",tree-129.svg,tree-129.png
130,"{4,5,9,10,12}",tree-130.svg,tree-130.png
131,"{5,6,7,8,9}",tree-131.svg,tree-131.png
132,"{5,6,7,8,12}",tree-132.svg,tree-132.png
133,"{5,6,7,9,12}",tree-133.svg,tree-133.png
134,"{5,6,8,9,10}",tree-134.svg,tree-134.png
135,"{5,6,8,10,12}",tree-135.svg,tree-135.png
136,"{5,6,9,10,12}",tree-136.svg,tree-136.png
137,"{5,7,8,9,10}",tree-137.svg,tree-137.png
138,"{5,7,8,10,12}",tree-138.svg,tree-138.png
139,"{5,7,9,10,12}",tree-139.svg,tree-139.png
